,writer,book,birth,min_bookDate
28,http://dbpedia.org/resource/Tim_LaHaye,http://dbpedia.org/resource/The_Act_of_Marriage;http://dbpedia.org/resource/The_Indwelling;http://dbpedia.org/resource/Tribulation_Force;http://dbpedia.org/resource/Armageddon_(novel);http://dbpedia.org/resource/Assassins_(LaHaye_novel);http://dbpedia.org/resource/The_Mark_(novel);http://dbpedia.org/resource/The_Remnant_(novel),1926,1996
29,http://dbpedia.org/resource/Tom_Kratman,http://dbpedia.org/resource/Watch_on_the_Rhine_(novel),1956,2007
30,http://dbpedia.org/resource/Robert_Munsch,http://dbpedia.org/resource/The_Paper_Bag_Princess;http://dbpedia.org/resource/Giant;_or_Waiting_for_the_Thursday_Boat,1945,1980
31,http://dbpedia.org/resource/Jon_Smith,http://dbpedia.org/resource/Get_into_Bed_with_Google;http://dbpedia.org/resource/The_Bloke's_Guide_To_Pregnancy,1975,2004
32,http://dbpedia.org/resource/Brad_Meltzer,http://dbpedia.org/resource/Dead_Even;http://dbpedia.org/resource/Heroes_for_My_Daughter;http://dbpedia.org/resource/Heroes_for_My_Son;http://dbpedia.org/resource/I_Am_Abraham_Lincoln;http://dbpedia.org/resource/I_Am_Albert_Einstein;http://dbpedia.org/resource/I_Am_Amelia_Earhart;http://dbpedia.org/resource/I_Am_Rosa_Parks;http://dbpedia.org/resource/The_First_Counsel,1970,2014
33,http://dbpedia.org/resource/Ha_Jin,http://dbpedia.org/resource/In_the_Pond;http://dbpedia.org/resource/War_Trash,1956,1998
34,http://dbpedia.org/resource/Dan_Wells_(author),http://dbpedia.org/resource/I_Am_Not_a_Serial_Killer,1977,2009
35,http://dbpedia.org/resource/Daniel_Keyes,http://dbpedia.org/resource/Flowers_for_Algernon;http://dbpedia.org/resource/The_Minds_of_Billy_Milligan,1927,1959
36,http://dbpedia.org/resource/David_Levithan,http://dbpedia.org/resource/Boy_Meets_Boy_(novel),1972,2003
37,http://dbpedia.org/resource/Jeffrey_Eugenides,http://dbpedia.org/resource/The_Virgin_Suicides,1960,1993
38,http://dbpedia.org/resource/Bruce_Sterling,http://dbpedia.org/resource/Crystal_Express;http://dbpedia.org/resource/Islands_in_the_Net;http://dbpedia.org/resource/Schismatrix;http://dbpedia.org/resource/The_Caryatids;http://dbpedia.org/resource/The_Difference_Engine;http://dbpedia.org/resource/The_Zenith_Angle;http://dbpedia.org/resource/Holy_Fire_(novel),1954,1985
39,http://dbpedia.org/resource/Caleb_Carr,http://dbpedia.org/resource/The_Angel_of_Darkness;http://dbpedia.org/resource/The_Italian_Secretary,1955,1997
