,birth,book,writer,min_bookDate
18,1917,"http://dbpedia.org/resource/A_Fall_of_Moondust;http://dbpedia.org/resource/Against_the_Fall_of_Night;http://dbpedia.org/resource/Earthlight;http://dbpedia.org/resource/Expedition_to_Earth;http://dbpedia.org/resource/Glide_Path;http://dbpedia.org/resource/Islands_in_the_Sky;http://dbpedia.org/resource/More_Than_One_Universe;http://dbpedia.org/resource/Of_Time_and_Stars;http://dbpedia.org/resource/Prelude_to_Space;http://dbpedia.org/resource/Reach_for_Tomorrow;http://dbpedia.org/resource/Rendezvous_with_Rama;http://dbpedia.org/resource/Tales_from_Planet_Earth;http://dbpedia.org/resource/Tales_from_the_White_Hart;http://dbpedia.org/resource/Tales_of_Ten_Worlds;http://dbpedia.org/resource/The_Best_of_Arthur_C._Clarke;http://dbpedia.org/resource/The_Case_for_Mars;http://dbpedia.org/resource/The_City_and_the_Stars;http://dbpedia.org/resource/The_Collected_Stories_of_Arthur_C._Clarke;http://dbpedia.org/resource/The_Deep_Range;http://dbpedia.org/resource/The_Ghost_from_the_Grand_Banks;http://dbpedia.org/resource/The_Lion_of_Comarre_and_Against_the_Fall_of_Night;http://dbpedia.org/resource/The_Other_Side_of_the_Sky;http://dbpedia.org/resource/The_Sands_of_Mars;http://dbpedia.org/resource/The_Songs_of_Distant_Earth;http://dbpedia.org/resource/The_Trigger;http://dbpedia.org/resource/The_View_from_Serendip;http://dbpedia.org/resource/The_Wind_from_the_Sun;http://dbpedia.org/resource/2001:_A_Space_Odyssey_(novel);http://dbpedia.org/resource/2010:_Odyssey_Two;http://dbpedia.org/resource/2061:_Odyssey_Three;http://dbpedia.org/resource/An_Encyclopedia_of_Claims,_Frauds,_and_Hoaxes_of_the_Occult_and_Supernatural;http://dbpedia.org/resource/Childhood's_End;http://dbpedia.org/resource/Cradle_(novel);http://dbpedia.org/resource/Dolphin_Island_(novel);http://dbpedia.org/resource/Rama_II_(novel);http://dbpedia.org/resource/The_Hammer_of_God_(Clarke_novel);http://dbpedia.org/resource/The_Nine_Billion_Names_of_God_(collection);http://dbpedia.org/resource/The_Sentinel_(anthology)",http://dbpedia.org/resource/Arthur_C._Clarke,1951
19,1969,http://dbpedia.org/resource/The_Krishna_Key;http://dbpedia.org/resource/Chanakya's_Chant,http://dbpedia.org/resource/Ashwin_Sanghi,2010
20,1941,http://dbpedia.org/resource/Borgel;http://dbpedia.org/resource/Slaves_of_Spiegel;http://dbpedia.org/resource/The_Worms_of_Kukumlima,http://dbpedia.org/resource/Daniel_Pinkwater,1981
21,1967,http://dbpedia.org/resource/Interpreter_of_Maladies;http://dbpedia.org/resource/Unaccustomed_Earth,http://dbpedia.org/resource/Jhumpa_Lahiri,1999
22,1947,http://dbpedia.org/resource/Varieties_of_Disturbance,http://dbpedia.org/resource/Lydia_Davis,2007
23,1970,http://dbpedia.org/resource/The_Interpreter_(Kim_novel),http://dbpedia.org/resource/Suki_Kim,2003
24,1940,http://dbpedia.org/resource/Black_Sunday_(novel);http://dbpedia.org/resource/Red_Dragon_(novel);http://dbpedia.org/resource/The_Silence_of_the_Lambs_(novel),http://dbpedia.org/resource/Thomas_Harris,1975
25,1979,http://dbpedia.org/resource/Leaving_the_Atocha_Station;http://dbpedia.org/resource/10:04,http://dbpedia.org/resource/Ben_Lerner,2011
26,1967,http://dbpedia.org/resource/Notable_American_Women,http://dbpedia.org/resource/Ben_Marcus,2002
27,1910,http://dbpedia.org/resource/Eleven_Blue_Men,http://dbpedia.org/resource/Berton_Roueché,1953
